T[K],T[C],HF[W/g],Cp[J/(gK)],Cp[J/(mo K)],lit-Cp[J/(molK),lit_Cp_(J/mol_K_DIVI,DIVI_B OTRO_SET,H
223.00,-50.000,-0.22750,1.3680,142.47,,,,0.0000,
223.02,-49.980,-0.22750,1.3680,142.47,,,,2.8501,
223.04,-49.960,-0.22750,1.3680,142.47,,,,5.7002,
223.05,-49.950,-0.22750,1.3680,142.47,,,,7.1242,
223.07,-49.930,-0.22750,1.3680,142.47,,,,9.9743,
223.09,-49.910,-0.22750,1.3680,142.47,,,,12.822,
223.10,-49.900,-0.22750,1.3680,142.47,,,,14.248,
223.12,-49.880,-0.22760,1.3690,142.58,,,,17.097,
223.14,-49.860,-0.22760,1.3690,142.58,,,,19.949,
223.15,-49.850,-0.22760,1.3690,142.58,,132.06,130.08,21.374,
223.17,-49.830,-0.22760,1.3690,142.58,,,,24.227,
223.19,-49.810,-0.22760,1.3690,142.58,,,,27.079,
223.20,-49.800,-0.22760,1.3690,142.58,,,,28.504,
223.22,-49.780,-0.22760,1.3690,142.58,,,,31.356,
223.24,-49.760,-0.22760,1.3700,142.68,,,,34.209,
223.25,-49.750,-0.22760,1.3700,142.68,,,,35.635,
223.27,-49.730,-0.22770,1.3700,142.68,,,,38.490,
223.29,-49.710,-0.22770,1.3700,142.68,,,,41.344,
223.30,-49.700,-0.22770,1.3700,142.68,,,,42.770,
223.32,-49.680,-0.22770,1.3700,142.68,,,,45.624,
223.34,-49.660,-0.22770,1.3700,142.68,,,,48.476,
223.35,-49.650,-0.22770,1.3700,142.68,,,,49.904,
223.37,-49.630,-0.22770,1.3700,142.68,,,,52.757,
223.39,-49.610,-0.22770,1.3700,142.68,,,,55.611,
223.40,-49.600,-0.22770,1.3700,142.68,,,,57.037,
223.42,-49.580,-0.22780,1.3700,142.68,,,,59.891,
223.44,-49.560,-0.22780,1.3700,142.68,,,,62.745,
223.45,-49.550,-0.22780,1.3700,142.68,,,,64.171,
223.47,-49.530,-0.22780,1.3700,142.68,,,,67.026,
223.49,-49.510,-0.22780,1.3700,142.68,,,,69.880,
223.50,-49.500,-0.22780,1.3700,142.68,,,,71.306,
223.52,-49.480,-0.22780,1.3700,142.68,,,,74.160,
223.54,-49.460,-0.22780,1.3700,142.68,,,,77.014,
223.55,-49.450,-0.22780,1.3700,142.68,,,,78.441,
223.57,-49.430,-0.22790,1.3710,142.79,,,,81.296,
223.59,-49.410,-0.22790,1.3710,142.79,,,,84.150,
223.60,-49.400,-0.22790,1.3710,142.79,,,,85.579,
223.62,-49.380,-0.22790,1.3710,142.79,,,,88.433,
223.64,-49.360,-0.22790,1.3710,142.79,,,,91.290,
223.65,-49.350,-0.22790,1.3710,142.79,,,,92.717,
223.67,-49.330,-0.22790,1.3710,142.79,,,,95.573,
223.69,-49.310,-0.22790,1.3710,142.79,,,,98.430,
223.70,-49.300,-0.22790,1.3710,142.79,,,,99.857,
223.72,-49.280,-0.22800,1.3710,142.79,,,,102.71,
223.74,-49.260,-0.22800,1.3710,142.79,,,,105.57,
223.75,-49.250,-0.22800,1.3710,142.79,,,,107.00,
223.77,-49.230,-0.22800,1.3710,142.79,,,,109.85,
223.78,-49.220,-0.22800,1.3720,142.89,,,,111.28,
223.80,-49.200,-0.22800,1.3720,142.89,,,,114.14,
223.82,-49.180,-0.22800,1.3720,142.89,,,,117.00,
223.83,-49.170,-0.22800,1.3720,142.89,,,,118.43,
223.85,-49.150,-0.22800,1.3720,142.89,,,,121.28,
223.87,-49.130,-0.22810,1.3720,142.89,,,,124.14,
223.89,-49.110,-0.22810,1.3720,142.89,,,,127.00,
223.90,-49.100,-0.22810,1.3720,142.89,,,,128.43,
223.92,-49.080,-0.22810,1.3720,142.89,,,,131.29,
223.94,-49.060,-0.22810,1.3720,142.89,,,,134.14,
223.95,-49.050,-0.22810,1.3720,142.89,,,,135.57,
223.97,-49.030,-0.22810,1.3720,142.89,,,,138.43,
223.98,-49.020,-0.22810,1.3720,142.89,,,,139.86,
224.00,-49.000,-0.22820,1.3720,142.89,,,,142.72,
224.02,-48.980,-0.22820,1.3720,142.89,,,,145.58,
224.04,-48.960,-0.22820,1.3720,142.89,,,,148.43,
224.05,-48.950,-0.22820,1.3720,142.89,,,,149.86,
224.07,-48.930,-0.22820,1.3730,143.00,,,,152.72,
224.09,-48.910,-0.22820,1.3730,143.00,,,,155.58,
224.10,-48.900,-0.22820,1.3730,143.00,,,,157.01,
224.12,-48.880,-0.22820,1.3730,143.00,,,,159.87,
224.13,-48.870,-0.22820,1.3730,143.00,,,,161.30,
224.15,-48.850,-0.22820,1.3730,143.00,,,,164.16,
224.17,-48.830,-0.22830,1.3730,143.00,,,,167.02,
224.18,-48.820,-0.22830,1.3730,143.00,,,,168.45,
224.20,-48.800,-0.22830,1.3740,143.10,,,,171.31,
224.22,-48.780,-0.22830,1.3740,143.10,,,,174.17,
224.23,-48.770,-0.22830,1.3740,143.10,,,,175.60,
224.25,-48.750,-0.22830,1.3740,143.10,,,,178.47,
224.27,-48.730,-0.22830,1.3740,143.10,,,,181.33,
224.28,-48.720,-0.22830,1.3740,143.10,,,,182.76,
224.30,-48.700,-0.22840,1.3740,143.10,,,,185.62,
224.32,-48.680,-0.22840,1.3740,143.10,,,,188.48,
224.33,-48.670,-0.22840,1.3730,143.00,,,,189.91,
224.35,-48.650,-0.22840,1.3730,143.00,,,,192.77,
224.37,-48.630,-0.22840,1.3730,143.00,,,,195.63,
224.38,-48.620,-0.22840,1.3730,143.00,,,,197.06,
224.40,-48.600,-0.22840,1.3730,143.00,,,,199.92,
224.42,-48.580,-0.22840,1.3740,143.10,,,,202.78,
224.43,-48.570,-0.22840,1.3740,143.10,,,,204.21,
224.45,-48.550,-0.22850,1.3740,143.10,,,,207.08,
224.47,-48.530,-0.22850,1.3740,143.10,,,,209.94,
224.48,-48.520,-0.22850,1.3740,143.10,,,,211.37,
224.50,-48.500,-0.22850,1.3740,143.10,,,,214.23,
224.52,-48.480,-0.22850,1.3740,143.10,,,,217.09,
224.53,-48.470,-0.22850,1.3750,143.20,,,,218.52,
224.55,-48.450,-0.22850,1.3750,143.20,,,,221.39,
224.57,-48.430,-0.22850,1.3750,143.20,,,,224.25,
224.58,-48.420,-0.22850,1.3750,143.20,,,,225.69,
224.60,-48.400,-0.22860,1.3750,143.20,,,,228.55,
224.62,-48.380,-0.22860,1.3750,143.20,,,,231.41,
224.63,-48.370,-0.22860,1.3750,143.20,,,,232.85,
224.65,-48.350,-0.22860,1.3750,143.20,,,,235.71,
224.67,-48.330,-0.22860,1.3750,143.20,,,,238.57,
224.68,-48.320,-0.22860,1.3750,143.20,,,,240.00,
224.70,-48.300,-0.22860,1.3750,143.20,,,,242.87,
224.72,-48.280,-0.22860,1.3750,143.20,,,,245.73,
224.74,-48.260,-0.22870,1.3750,143.20,,,,248.60,
224.75,-48.250,-0.22870,1.3750,143.20,,,,250.03,
224.77,-48.230,-0.22870,1.3750,143.20,,,,252.89,
224.78,-48.220,-0.22870,1.3750,143.20,,,,254.33,
224.80,-48.200,-0.22870,1.3750,143.20,,,,257.19,
224.82,-48.180,-0.22870,1.3750,143.20,,,,260.05,
224.83,-48.170,-0.22870,1.3750,143.20,,,,261.49,
224.85,-48.150,-0.22870,1.3750,143.20,,,,264.35,
224.87,-48.130,-0.22870,1.3750,143.20,,,,267.21,
224.88,-48.120,-0.22880,1.3760,143.31,,,,268.65,
224.90,-48.100,-0.22880,1.3760,143.31,,,,271.51,
224.92,-48.080,-0.22880,1.3760,143.31,,,,274.38,
224.93,-48.070,-0.22880,1.3760,143.31,,,,275.81,
224.95,-48.050,-0.22880,1.3760,143.31,,,,278.68,
224.96,-48.040,-0.22880,1.3760,143.31,,,,280.11,
224.98,-48.020,-0.22880,1.3760,143.31,,,,282.98,
225.00,-48.000,-0.22880,1.3760,143.31,,,,285.84,
225.02,-47.980,-0.22880,1.3760,143.31,,,,288.71,
225.03,-47.970,-0.22890,1.3760,143.31,,,,290.14,
225.05,-47.950,-0.22890,1.3770,143.41,,,,293.01,
225.07,-47.930,-0.22890,1.3770,143.41,,,,295.88,
225.08,-47.920,-0.22890,1.3770,143.41,,,,297.31,
225.10,-47.900,-0.22890,1.3770,143.41,,,,300.18,
225.12,-47.880,-0.22890,1.3770,143.41,,,,303.05,
225.13,-47.870,-0.22890,1.3770,143.41,,,,304.48,
225.15,-47.850,-0.22890,1.3770,143.41,,,,307.35,
225.17,-47.830,-0.22890,1.3770,143.41,,,,310.22,
225.18,-47.820,-0.22900,1.3770,143.41,,,,311.65,
225.20,-47.800,-0.22900,1.3770,143.41,,,,314.52,
225.22,-47.780,-0.22900,1.3770,143.41,,,,317.39,
225.23,-47.770,-0.22900,1.3770,143.41,,,,318.82,
225.25,-47.750,-0.22900,1.3770,143.41,,,,321.69,
225.27,-47.730,-0.22900,1.3770,143.41,,,,324.56,
225.28,-47.720,-0.22900,1.3770,143.41,,,,325.99,
225.30,-47.700,-0.22900,1.3770,143.41,,,,328.86,
225.32,-47.680,-0.22900,1.3780,143.52,,,,331.73,
225.33,-47.670,-0.22910,1.3780,143.52,,,,333.17,
225.35,-47.650,-0.22910,1.3780,143.52,,,,336.04,
225.37,-47.630,-0.22910,1.3780,143.52,,,,338.91,
225.38,-47.620,-0.22910,1.3780,143.52,,,,340.34,
225.40,-47.600,-0.22910,1.3780,143.52,,,,343.21,
225.42,-47.580,-0.22910,1.3780,143.52,,,,346.08,
225.43,-47.570,-0.22910,1.3780,143.52,,,,347.52,
225.45,-47.550,-0.22910,1.3780,143.52,,,,350.39,
225.47,-47.530,-0.22920,1.3780,143.52,,,,353.26,
225.48,-47.520,-0.22920,1.3790,143.62,,,,354.69,
225.50,-47.500,-0.22920,1.3790,143.62,,,,357.57,
225.52,-47.480,-0.22920,1.3790,143.62,,,,360.44,
225.53,-47.470,-0.22920,1.3790,143.62,,,,361.88,
225.55,-47.450,-0.22920,1.3790,143.62,,,,364.75,
225.56,-47.440,-0.22920,1.3790,143.62,,,,366.18,
225.58,-47.420,-0.22920,1.3790,143.62,,,,369.06,
225.60,-47.400,-0.22920,1.3790,143.62,,,,371.93,
225.62,-47.380,-0.22930,1.3790,143.62,,,,374.80,
225.63,-47.370,-0.22930,1.3790,143.62,,,,376.24,
225.65,-47.350,-0.22930,1.3790,143.62,,,,379.11,
225.66,-47.340,-0.22930,1.3790,143.62,,,,380.55,
225.68,-47.320,-0.22930,1.3790,143.62,,,,383.42,
225.70,-47.300,-0.22930,1.3790,143.62,,,,386.29,
225.71,-47.290,-0.22930,1.3800,143.72,,,,387.73,
225.73,-47.270,-0.22930,1.3800,143.72,,,,390.60,
225.75,-47.250,-0.22930,1.3800,143.72,,,,393.48,
225.76,-47.240,-0.22940,1.3800,143.72,,,,394.91,
225.78,-47.220,-0.22940,1.3800,143.72,,,,397.79,
225.80,-47.200,-0.22940,1.3800,143.72,,,,400.66,
225.81,-47.190,-0.22940,1.3800,143.72,,,,402.10,
225.83,-47.170,-0.22940,1.3800,143.72,,,,404.98,
225.85,-47.150,-0.22940,1.3800,143.72,,,,407.85,
225.86,-47.140,-0.22940,1.3800,143.72,,,,409.29,
225.88,-47.120,-0.22940,1.3800,143.72,,,,412.16,
225.90,-47.100,-0.22950,1.3810,143.83,,,,415.04,
225.91,-47.090,-0.22950,1.3810,143.83,,,,416.48,
225.93,-47.070,-0.22950,1.3810,143.83,,,,419.35,
225.95,-47.050,-0.22950,1.3810,143.83,,,,422.23,
225.96,-47.040,-0.22950,1.3810,143.83,,,,423.67,
225.98,-47.020,-0.22950,1.3810,143.83,,,,426.54,
226.00,-47.000,-0.22950,1.3810,143.83,,,,429.42,
226.01,-46.990,-0.22950,1.3810,143.83,,,,430.86,
226.03,-46.970,-0.22950,1.3810,143.83,,,,433.73,
226.05,-46.950,-0.22960,1.3810,143.83,,,,436.61,
226.07,-46.930,-0.22960,1.3810,143.83,,,,439.49,
226.08,-46.920,-0.22960,1.3810,143.83,,,,440.93,
226.10,-46.900,-0.22960,1.3810,143.83,,,,443.80,
226.11,-46.890,-0.22960,1.3810,143.83,,,,445.24,
226.13,-46.870,-0.22960,1.3810,143.83,,,,448.12,
226.15,-46.850,-0.22960,1.3810,143.83,,,,450.99,
226.16,-46.840,-0.22960,1.3810,143.83,,,,452.43,
226.18,-46.820,-0.22960,1.3810,143.83,,,,455.31,
226.20,-46.800,-0.22970,1.3810,143.83,,,,458.19,
226.21,-46.790,-0.22970,1.3810,143.83,,,,459.62,
226.23,-46.770,-0.22970,1.3810,143.83,,,,462.50,
226.25,-46.750,-0.22970,1.3820,143.93,,,,465.38,
226.26,-46.740,-0.22970,1.3820,143.93,,,,466.82,
226.28,-46.720,-0.22970,1.3820,143.93,,,,469.70,
226.30,-46.700,-0.22970,1.3820,143.93,,,,472.58,
226.31,-46.690,-0.22970,1.3820,143.93,,,,474.01,
226.33,-46.670,-0.22970,1.3820,143.93,,,,476.89,
226.35,-46.650,-0.22980,1.3830,144.04,,,,479.77,
226.36,-46.640,-0.22980,1.3830,144.04,,,,481.21,
226.38,-46.620,-0.22980,1.3830,144.04,,,,484.09,
226.40,-46.600,-0.22980,1.3830,144.04,,,,486.97,
226.41,-46.590,-0.22980,1.3830,144.04,,,,488.42,
226.43,-46.570,-0.22980,1.3830,144.04,,,,491.29,
226.45,-46.550,-0.22980,1.3830,144.04,,,,494.18,
226.46,-46.540,-0.22980,1.3830,144.04,,,,495.62,
226.48,-46.520,-0.22990,1.3830,144.04,,,,498.50,
226.50,-46.500,-0.22990,1.3830,144.04,,,,501.38,
226.51,-46.490,-0.22990,1.3830,144.04,,,,502.82,
226.53,-46.470,-0.22990,1.3830,144.04,,,,505.70,
226.55,-46.450,-0.22990,1.3830,144.04,,,,508.58,
226.56,-46.440,-0.22990,1.3830,144.04,,,,510.02,
226.58,-46.420,-0.22990,1.3830,144.04,,,,512.90,
226.60,-46.400,-0.22990,1.3830,144.04,,,,515.78,
226.61,-46.390,-0.22990,1.3830,144.04,,,,517.22,
226.63,-46.370,-0.23000,1.3830,144.04,,,,520.10,
226.65,-46.350,-0.23000,1.3830,144.04,,,,522.98,
226.66,-46.340,-0.23000,1.3830,144.04,,,,524.42,
226.68,-46.320,-0.23000,1.3830,144.04,,,,527.30,
226.70,-46.300,-0.23000,1.3830,144.04,,,,530.18,
226.71,-46.290,-0.23000,1.3830,144.04,,,,531.62,
226.73,-46.270,-0.23000,1.3830,144.04,,,,534.51,
226.75,-46.250,-0.23000,1.3830,144.04,,,,537.39,
226.76,-46.240,-0.23010,1.3830,144.04,,,,538.83,
226.78,-46.220,-0.23010,1.3830,144.04,,,,541.71,
226.79,-46.210,-0.23010,1.3840,144.14,,,,543.15,
226.81,-46.190,-0.23010,1.3840,144.14,,,,546.03,
226.83,-46.170,-0.23010,1.3840,144.14,,,,548.91,
226.84,-46.160,-0.23010,1.3840,144.14,,,,550.36,
226.86,-46.140,-0.23010,1.3840,144.14,,,,553.24,
226.88,-46.120,-0.23010,1.3840,144.14,,,,556.12,
226.89,-46.110,-0.23010,1.3840,144.14,,,,557.56,
226.91,-46.090,-0.23020,1.3840,144.14,,,,560.45,
226.93,-46.070,-0.23020,1.3840,144.14,,,,563.33,
226.94,-46.060,-0.23020,1.3850,144.24,,,,564.77,
226.96,-46.040,-0.23020,1.3850,144.24,,,,567.65,
226.98,-46.020,-0.23020,1.3850,144.24,,,,570.54,
226.99,-46.010,-0.23020,1.3850,144.24,,,,571.98,
227.01,-45.990,-0.23020,1.3850,144.24,,,,574.87,
227.03,-45.970,-0.23020,1.3850,144.24,,,,577.75,
227.04,-45.960,-0.23030,1.3850,144.24,,,,579.20,
227.06,-45.940,-0.23030,1.3850,144.24,,,,582.08,
227.08,-45.920,-0.23030,1.3850,144.24,,,,584.97,
227.09,-45.910,-0.23030,1.3850,144.24,,,,586.41,
227.11,-45.890,-0.23030,1.3840,144.14,,,,589.29,
227.13,-45.870,-0.23030,1.3840,144.14,,,,592.17,
227.14,-45.860,-0.23030,1.3840,144.14,,,,593.62,
227.16,-45.840,-0.23030,1.3840,144.14,,,,596.50,
227.18,-45.820,-0.23030,1.3840,144.14,,,,599.38,
227.20,-45.800,-0.23040,1.3850,144.24,,,,602.26,
227.21,-45.790,-0.23040,1.3850,144.24,,,,603.71,
227.23,-45.770,-0.23040,1.3850,144.24,,,,606.59,
227.24,-45.760,-0.23040,1.3850,144.24,,,,608.04,
227.26,-45.740,-0.23040,1.3850,144.24,,,,610.92,
227.28,-45.720,-0.23040,1.3850,144.24,,,,613.80,
227.29,-45.710,-0.23040,1.3850,144.24,,,,615.25,
227.31,-45.690,-0.23040,1.3850,144.24,,,,618.13,
227.33,-45.670,-0.23040,1.3850,144.24,,,,621.02,
227.34,-45.660,-0.23050,1.3850,144.24,,,,622.46,
227.36,-45.640,-0.23050,1.3860,144.35,,,,625.35,
227.38,-45.620,-0.23050,1.3860,144.35,,,,628.23,
227.39,-45.610,-0.23050,1.3860,144.35,,,,629.68,
227.41,-45.590,-0.23050,1.3860,144.35,,,,632.56,
227.43,-45.570,-0.23050,1.3860,144.35,,,,635.45,
227.44,-45.560,-0.23050,1.3860,144.35,,,,636.89,
227.46,-45.540,-0.23050,1.3860,144.35,,,,639.78,
227.48,-45.520,-0.23060,1.3860,144.35,,,,642.67,
227.49,-45.510,-0.23060,1.3860,144.35,,,,644.11,
227.51,-45.490,-0.23060,1.3860,144.35,,,,647.00,
227.53,-45.470,-0.23060,1.3860,144.35,,,,649.88,
227.54,-45.460,-0.23060,1.3860,144.35,,,,651.33,
227.56,-45.440,-0.23060,1.3860,144.35,,,,654.21,
227.58,-45.420,-0.23060,1.3860,144.35,,,,657.10,
227.59,-45.410,-0.23060,1.3860,144.35,,,,658.54,
227.61,-45.390,-0.23060,1.3870,144.45,,,,661.43,
227.63,-45.370,-0.23070,1.3870,144.45,,,,664.32,
227.64,-45.360,-0.23070,1.3870,144.45,,,,665.77,
227.66,-45.340,-0.23070,1.3870,144.45,,,,668.66,
227.68,-45.320,-0.23070,1.3870,144.45,,,,671.54,
227.69,-45.310,-0.23070,1.3870,144.45,,,,672.99,
227.71,-45.290,-0.23070,1.3870,144.45,,,,675.88,
227.73,-45.270,-0.23070,1.3870,144.45,,,,678.77,
227.74,-45.260,-0.23070,1.3870,144.45,,,,680.21,
227.76,-45.240,-0.23080,1.3870,144.45,,,,683.10,
227.78,-45.220,-0.23080,1.3870,144.45,,,,685.99,
227.79,-45.210,-0.23080,1.3870,144.45,,,,687.44,
227.81,-45.190,-0.23080,1.3870,144.45,,,,690.32,
227.83,-45.170,-0.23080,1.3870,144.45,,,,693.21,
227.84,-45.160,-0.23080,1.3880,144.56,,,,694.66,
227.86,-45.140,-0.23080,1.3880,144.56,,,,697.55,
227.88,-45.120,-0.23080,1.3880,144.56,,,,700.44,
227.89,-45.110,-0.23080,1.3880,144.56,,,,701.89,
227.91,-45.090,-0.23090,1.3880,144.56,,,,704.78,
227.93,-45.070,-0.23090,1.3880,144.56,,,,707.67,
227.94,-45.060,-0.23090,1.3880,144.56,,,,709.11,
227.96,-45.040,-0.23090,1.3880,144.56,,,,712.00,
227.98,-45.020,-0.23090,1.3880,144.56,,,,714.90,
227.99,-45.010,-0.23090,1.3880,144.56,,,,716.34,
228.01,-44.990,-0.23090,1.3880,144.56,,,,719.23,
228.03,-44.970,-0.23090,1.3880,144.56,,,,722.12,
228.04,-44.960,-0.23100,1.3880,144.56,,,,723.57,
228.06,-44.940,-0.23100,1.3880,144.56,,,,726.46,
228.07,-44.930,-0.23100,1.3880,144.56,,,,727.91,
228.09,-44.910,-0.23100,1.3880,144.56,,,,730.80,
228.11,-44.890,-0.23100,1.3880,144.56,,,,733.69,
228.13,-44.870,-0.23100,1.3880,144.56,,,,736.58,
228.14,-44.860,-0.23100,1.3890,144.66,,,,738.03,
228.16,-44.840,-0.23100,1.3890,144.66,,,,740.92,
228.18,-44.820,-0.23110,1.3890,144.66,,,,743.81,
228.19,-44.810,-0.23110,1.3890,144.66,,,,745.26,
228.21,-44.790,-0.23110,1.3890,144.66,,,,748.15,
228.23,-44.770,-0.23110,1.3890,144.66,,,,751.04,
228.24,-44.760,-0.23110,1.3890,144.66,,,,752.49,
228.26,-44.740,-0.23110,1.3890,144.66,,,,755.38,
228.28,-44.720,-0.23110,1.3890,144.66,,,,758.28,
228.29,-44.710,-0.23110,1.3890,144.66,,,,759.73,
228.31,-44.690,-0.23110,1.3890,144.66,,,,762.62,
228.32,-44.680,-0.23120,1.3890,144.66,,,,764.07,
228.34,-44.660,-0.23120,1.3890,144.66,,,,766.96,
228.36,-44.640,-0.23120,1.3890,144.66,,,,769.85,
228.38,-44.620,-0.23120,1.3890,144.66,,,,772.75,
228.39,-44.610,-0.23120,1.3890,144.66,,,,774.19,
228.41,-44.590,-0.23120,1.3890,144.66,,,,777.09,
228.42,-44.580,-0.23120,1.3890,144.66,,,,778.53,
228.44,-44.560,-0.23120,1.3900,144.77,,,,781.43,
228.46,-44.540,-0.23120,1.3900,144.77,,,,784.32,
228.47,-44.530,-0.23130,1.3900,144.77,,,,785.77,
228.49,-44.510,-0.23130,1.3900,144.77,,,,788.66,
228.51,-44.490,-0.23130,1.3900,144.77,,,,791.56,
228.53,-44.470,-0.23130,1.3900,144.77,,,,794.45,
228.54,-44.460,-0.23130,1.3900,144.77,,,,795.90,
228.56,-44.440,-0.23130,1.3900,144.77,,,,798.80,
228.58,-44.420,-0.23130,1.3910,144.87,,,,801.69,
228.59,-44.410,-0.23130,1.3910,144.87,,,,803.14,
228.61,-44.390,-0.23140,1.3910,144.87,,,,806.04,
228.63,-44.370,-0.23140,1.3910,144.87,,,,808.94,
228.64,-44.360,-0.23140,1.3910,144.87,,,,810.39,
228.66,-44.340,-0.23140,1.3910,144.87,,,,813.28,
228.67,-44.330,-0.23140,1.3910,144.87,,,,814.73,
228.69,-44.310,-0.23140,1.3910,144.87,,,,817.63,
228.71,-44.290,-0.23140,1.3910,144.87,,,,820.53,
228.72,-44.280,-0.23140,1.3910,144.87,,,,821.98,
228.74,-44.260,-0.23150,1.3910,144.87,,,,824.87,
228.76,-44.240,-0.23150,1.3910,144.87,,,,827.77,
228.78,-44.220,-0.23150,1.3910,144.87,,,,830.67,
228.79,-44.210,-0.23150,1.3910,144.87,,,,832.12,
228.81,-44.190,-0.23150,1.3910,144.87,,,,835.01,
228.82,-44.180,-0.23150,1.3910,144.87,,,,836.46,
228.84,-44.160,-0.23150,1.3910,144.87,,,,839.36,
228.86,-44.140,-0.23150,1.3910,144.87,,,,842.26,
228.87,-44.130,-0.23150,1.3910,144.87,,,,843.71,
228.89,-44.110,-0.23160,1.3910,144.87,,,,846.60,
228.91,-44.090,-0.23160,1.3910,144.87,,,,849.50,
228.92,-44.080,-0.23160,1.3910,144.87,,,,850.95,
228.94,-44.060,-0.23160,1.3910,144.87,,,,853.85,
228.96,-44.040,-0.23160,1.3910,144.87,,,,856.74,
228.97,-44.030,-0.23160,1.3910,144.87,,,,858.19,
228.99,-44.010,-0.23160,1.3910,144.87,,,,861.09,
229.01,-43.990,-0.23160,1.3910,144.87,,,,863.99,
229.02,-43.980,-0.23160,1.3920,144.97,,,,865.44,
229.04,-43.960,-0.23170,1.3920,144.97,,,,868.34,
229.06,-43.940,-0.23170,1.3920,144.97,,,,871.24,
229.07,-43.930,-0.23170,1.3920,144.97,,,,872.69,
229.09,-43.910,-0.23170,1.3920,144.97,,,,875.58,
229.11,-43.890,-0.23170,1.3920,144.97,,,,878.48,
229.12,-43.880,-0.23170,1.3920,144.97,,,,879.93,
229.14,-43.860,-0.23170,1.3920,144.97,,,,882.83,
229.16,-43.840,-0.23170,1.3930,145.08,,,,885.73,
229.17,-43.830,-0.23170,1.3930,145.08,,,,887.18,
229.19,-43.810,-0.23180,1.3930,145.08,,,,890.09,
229.21,-43.790,-0.23180,1.3930,145.08,,,,892.99,
229.22,-43.780,-0.23180,1.3930,145.08,,,,894.44,
229.24,-43.760,-0.23180,1.3930,145.08,,,,897.34,
229.26,-43.740,-0.23180,1.3930,145.08,,,,900.24,
229.27,-43.730,-0.23180,1.3930,145.08,,,,901.69,
229.29,-43.710,-0.23180,1.3930,145.08,,,,904.60,
229.31,-43.690,-0.23180,1.3930,145.08,,,,907.50,
229.32,-43.680,-0.23190,1.3930,145.08,,,,908.95,
229.34,-43.660,-0.23190,1.3930,145.08,,,,911.85,
229.36,-43.640,-0.23190,1.3930,145.08,,,,914.75,
229.37,-43.630,-0.23190,1.3930,145.08,,,,916.20,
229.39,-43.610,-0.23190,1.3940,145.18,,,,919.10,
229.41,-43.590,-0.23190,1.3940,145.18,,,,922.01,
229.42,-43.580,-0.23190,1.3940,145.18,,,,923.46,
229.44,-43.560,-0.23190,1.3940,145.18,,,,926.36,
229.46,-43.540,-0.23190,1.3940,145.18,,,,929.27,
229.47,-43.530,-0.23200,1.3940,145.18,,,,930.72,
229.49,-43.510,-0.23200,1.3940,145.18,,,,933.62,
229.51,-43.490,-0.23200,1.3940,145.18,,,,936.52,
229.52,-43.480,-0.23200,1.3940,145.18,,,,937.98,
229.54,-43.460,-0.23200,1.3940,145.18,,,,940.88,
229.56,-43.440,-0.23200,1.3940,145.18,,,,943.78,
229.57,-43.430,-0.23200,1.3940,145.18,,,,945.24,
229.59,-43.410,-0.23200,1.3950,145.29,,,,948.14,
229.61,-43.390,-0.23210,1.3950,145.29,,,,951.05,
229.62,-43.380,-0.23210,1.3950,145.29,,,,952.50,
229.64,-43.360,-0.23210,1.3950,145.29,,,,955.41,
229.66,-43.340,-0.23210,1.3950,145.29,,,,958.31,
229.67,-43.330,-0.23210,1.3950,145.29,,,,959.76,
229.69,-43.310,-0.23210,1.3950,145.29,,,,962.67,
229.71,-43.290,-0.23210,1.3950,145.29,,,,965.57,
229.72,-43.280,-0.23210,1.3950,145.29,,,,967.03,
229.74,-43.260,-0.23210,1.3950,145.29,,,,969.93,
229.76,-43.240,-0.23220,1.3950,145.29,,,,972.84,
229.77,-43.230,-0.23220,1.3950,145.29,,,,974.29,
229.79,-43.210,-0.23220,1.3950,145.29,,,,977.20,
229.81,-43.190,-0.23220,1.3950,145.29,,,,980.10,
229.82,-43.180,-0.23220,1.3950,145.29,,,,981.56,
229.84,-43.160,-0.23220,1.3950,145.29,,,,984.46,
229.86,-43.140,-0.23220,1.3960,145.39,,,,987.37,
229.87,-43.130,-0.23220,1.3960,145.39,,,,988.82,
229.89,-43.110,-0.23230,1.3960,145.39,,,,991.73,
229.91,-43.090,-0.23230,1.3960,145.39,,,,994.64,
229.92,-43.080,-0.23230,1.3960,145.39,,,,996.09,
229.94,-43.060,-0.23230,1.3960,145.39,,,,999.00,
229.96,-43.040,-0.23230,1.3960,145.39,,,,1001.9,
229.97,-43.030,-0.23230,1.3960,145.39,,,,1003.4,
229.99,-43.010,-0.23230,1.3960,145.39,,,,1006.3,
230.01,-42.990,-0.23230,1.3960,145.39,,,,1009.2,
230.02,-42.980,-0.23230,1.3960,145.39,,,,1010.6,
230.04,-42.960,-0.23240,1.3970,145.49,,,,1013.5,
230.06,-42.940,-0.23240,1.3970,145.49,,,,1016.5,
230.07,-42.930,-0.23240,1.3970,145.49,,,,1017.9,
230.09,-42.910,-0.23240,1.3970,145.49,,,,1020.8,
230.11,-42.890,-0.23240,1.3970,145.49,,,,1023.7,
230.12,-42.880,-0.23240,1.3970,145.49,,,,1025.2,
230.14,-42.860,-0.23240,1.3970,145.49,,,,1028.1,
230.16,-42.840,-0.23240,1.3970,145.49,,,,1031.0,
230.17,-42.830,-0.23240,1.3970,145.49,,,,1032.5,
230.19,-42.810,-0.23250,1.3970,145.49,,,,1035.4,
